"Date","Price","Condition","YearBuilt","Age","HouseType","Storey","Neighbours","Orientation","Community","M2built","M2eff","Bedrooms","Bathrooms","Bathrooms2","Elevator","Heating","Water","ParkingPlaces","Cod","CP","District","DirExacta","Type","Street","Num","Origin","Neighbourhood"
"2011-12-01",410000,"segunda mano / a reformar",NA,"no consta","  piso",13,NA,NA,0,112,0,4,2,NA,TRUE,"central","central",1,"VW0000004840273",48014,"Deusto",TRUE,"PLAZA","ELISEO MIGOYA","17","PARTICULAR",32
"2008-06-16",336567,"segunda mano / buen estado",NA,"20-30 años","  piso",7,5,NA,30,77,0,4,1,NA,TRUE,"desc/no tiene","central",0,"VW0000001593410",48014,"Deusto",TRUE,"CALLE","IRUÑA","1","PARTICULAR",32
"2011-09-10",250000,"segunda mano / buen estado",NA,"+ 30 años","  piso",5,4,"nordeste",35,65,58,2,1,NA,TRUE,"individual","central",0,"VW0000004535895",48014,"Deusto",TRUE,"CALLE","BLAS DE OTERO","49","PARTICULAR",32
"2011-11-29",390000,"segunda mano / a reformar",NA,"+ 30 años","  piso",6,8,NA,0,100,0,4,2,NA,TRUE,"individual","central",0,"VW0000004830908",48014,"Deusto",TRUE,"AVENIDA","MADARIAGA","19","PARTICULAR",32
"2012-02-05",390000,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,3,"sur",0,127,115,4,2,NA,TRUE,"central","indet",0,"VW0000005059419",48014,"Deusto",TRUE,"AVENIDA","MADARIAGA","39","PARTICULAR",32
"2010-05-09",235000,"segunda mano / buen estado",NA,"+ 30 años","  piso",8,2,"suroeste",23,47,0,1,1,NA,TRUE,"central","central",0,"VW0000003032289",48014,"Deusto",TRUE,"PLAZA","PLACIDO CAREAGA","4","PARTICULAR",32
"2011-01-09",225000,"segunda mano / buen estado",NA,"+ 30 años","  piso",8,2,"suroeste",23,47,0,1,1,NA,TRUE,"central","central",0,"VW0000003032289",48014,"Deusto",TRUE,"PLAZA","PLACIDO CAREAGA","4","PARTICULAR",32
"2011-04-10",220000,"segunda mano / buen estado",NA,"+ 30 años","  piso",8,2,"suroeste",23,47,0,1,1,NA,TRUE,"central","central",0,"VW0000003032289",48014,"Deusto",TRUE,"PLAZA","PLACIDO CAREAGA","4","PARTICULAR",32
"2011-05-30",215000,"segunda mano / buen estado",NA,"+ 30 años","  piso",8,2,"suroeste",23,47,0,1,1,NA,TRUE,"central","central",0,"VW0000003032289",48014,"Deusto",TRUE,"PLAZA","PLACIDO CAREAGA","4","PARTICULAR",32
"2011-09-08",210000,"segunda mano / buen estado",NA,"+ 30 años","  piso",8,2,"suroeste",23,47,0,1,1,NA,TRUE,"central","central",0,"VW0000003032289",48014,"Deusto",TRUE,"PLAZA","PLACIDO CAREAGA","4","PARTICULAR",32
