"Type","Direccion","Num","Distrito","Barrio","Seccion","CP","UTMX","UTMY"
"AVENIDA","ABANDOIBARRA",2,"6 - ABANDO","ABANDO",2,48009,505439.4,4790848.54
"AVENIDA","ABANDOIBARRA",3,"6 - ABANDO","ABANDO",2,48009,505147.06,4790860.58
"AVENIDA","ABANDOIBARRA",4,"6 - ABANDO","INDAUTXU",1,48011,504577,4790645.68
"ESTRADA","ABARO",2,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502347.72,4791680.02
"ESTRADA","ABARO",4,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502330.08,4791675.82
"ESTRADA","ABARO",6,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502311.75,4791677.14
"ESTRADA","ABARO",7,"8 - BASURTU-ZORROTZA","ZORROTZA",3,48013,502233.54,4791692.3
"ESTRADA","ABARO",8,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502293.87,4791683.91
"ESTRADA","ABARO",9,"8 - BASURTU-ZORROTZA","ZORROTZA",3,48013,502210.13,4791701.79
"ESTRADA","ABARO",10,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502253.14,4791700.34
"ESTRADA","ABARO",11,"8 - BASURTU-ZORROTZA","ZORROTZA",3,48013,502194.76,4791707.98
"ESTRADA","ABARO",12,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502222.04,4791712.77
"ESTRADA","ABARO",13,"8 - BASURTU-ZORROTZA","ZORROTZA",3,48013,502187.82,4791710.77
"ESTRADA","ABARO",15,"8 - BASURTU-ZORROTZA","ZORROTZA",3,48013,502173.39,4791716.7
"ESTRADA","ABARO",24,"8 - BASURTU-ZORROTZA","ZORROTZA",2,48013,502193.13,4791724.69
"CALLE","ABASOLO",2,"2 - URIBARRI","URIBARRI",20,48007,506485.06,4790901.56
"CALLE","ABASOLO",4,"2 - URIBARRI","URIBARRI",20,48007,506518.07,4790881.39
"CALLE","ABASOLO",11,"2 - URIBARRI","URIBARRI",3,48007,506552.08,4790996.18
"CALLE","ABASOLO",21,"2 - URIBARRI","URIBARRI",3,48007,506577.72,4791013.08
"CALLE","ABASOLO",22,"2 - URIBARRI","URIBARRI",3,48007,506592,4790986.71
"CALLE","ABASOLO",23,"2 - URIBARRI","URIBARRI",3,48007,506588.46,4791038.66
"CALLE","ABASOLO",24,"2 - URIBARRI","URIBARRI",3,48007,506604.05,4791007.08
"CALLE","ABUSU",1,"5 - IBAIONDO","LA PEÑA",39,48003,506549.61,4787836.01
"CALLE","ACEBAL IDIGORAS",2,"6 - ABANDO","ABANDO",10,48001,506179.64,4790293.79
"CALLE","ACEBAL IDIGORAS",4,"6 - ABANDO","ABANDO",10,48001,506179.37,4790279.11
"CALLE","ACEBAL IDIGORAS",6,"6 - ABANDO","ABANDO",10,48001,506178.81,4790247.59
"CALLE","ACHUCARRO DOCTOR",1,"6 - ABANDO","INDAUTXU",17,48011,505228.24,4790195.53
"CALLE","ACHUCARRO DOCTOR",2,"6 - ABANDO","INDAUTXU",17,48011,505233.46,4790209.36
"CALLE","ACHUCARRO DOCTOR",3,"6 - ABANDO","INDAUTXU",17,48011,505209.81,4790200.98
"CALLE","ACHUCARRO DOCTOR",4,"6 - ABANDO","INDAUTXU",17,48011,505210.68,4790216.31
"CALLE","ACHUCARRO DOCTOR",5,"6 - ABANDO","INDAUTXU",17,48011,505191.21,4790206.58
"CALLE","ACHUCARRO DOCTOR",6,"6 - ABANDO","INDAUTXU",17,48011,505185.61,4790223.62
"CALLE","ACHUCARRO DOCTOR",7,"6 - ABANDO","INDAUTXU",17,48011,505172.38,4790212.17
"CALLE","ACHUCARRO DOCTOR",8,"6 - ABANDO","INDAUTXU",17,48011,505177.11,4790226.2
"CALLE","ACHUCARRO DOCTOR",9,"6 - ABANDO","INDAUTXU",17,48011,505153.59,4790217.71
"CALLE","ACHUCARRO DOCTOR",10,"6 - ABANDO","INDAUTXU",17,48011,505157.85,4790231.95
"CALLE","AGUERO MARTIN",1,"7 - ERREKALDE","AMETZOLA",13,48012,505220.71,4789420.38
"CALLE","AGUIRRE DOMINGO DE",2,"4 - BEGOÑA","SANTUTXU",17,48004,507310.16,4789088.41
"CALLE","AGUIRRE HERMANOS",1,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504988.87,4791045.91
"CALLE","AGUIRRE HERMANOS",2,"1 - DEUSTU","SAN PEDRO DE DEUSTU",45,48014,504998.47,4791144.08
"AVENIDA","AGUIRRE LEHENDAKARI",1,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504776.84,4791148.78
"AVENIDA","AGUIRRE LEHENDAKARI",2,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504748.53,4791190.74
"AVENIDA","AGUIRRE LEHENDAKARI",3,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504763.13,4791157.29
"AVENIDA","AGUIRRE LEHENDAKARI",4,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504734.99,4791193.27
"AVENIDA","AGUIRRE LEHENDAKARI",5,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504741.87,4791161.27
"AVENIDA","AGUIRRE LEHENDAKARI",6,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504711.1,4791202.77
"AVENIDA","AGUIRRE LEHENDAKARI",7,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504726.62,4791164.16
"AVENIDA","AGUIRRE LEHENDAKARI",9,"1 - DEUSTU","SAN PEDRO DE DEUSTU",44,48014,504701.31,4791169
"AVENIDA","AGUIRRE LEHENDAKARI",10,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504629.81,4791213.83
"AVENIDA","AGUIRRE LEHENDAKARI",11,"1 - DEUSTU","SAN PEDRO DE DEUSTU",39,48014,504623.41,4791185.87
"AVENIDA","AGUIRRE LEHENDAKARI",13,"1 - DEUSTU","SAN PEDRO DE DEUSTU",40,48014,504457.71,4791202.38
"AVENIDA","AGUIRRE LEHENDAKARI",15,"1 - DEUSTU","SAN PEDRO DE DEUSTU",40,48014,504442.14,4791202.64
"AVENIDA","AGUIRRE LEHENDAKARI",16,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504486.96,4791236.13
"AVENIDA","AGUIRRE LEHENDAKARI",17,"1 - DEUSTU","SAN PEDRO DE DEUSTU",40,48014,504426.9,4791203.16
"AVENIDA","AGUIRRE LEHENDAKARI",18,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504471.47,4791236.79
"AVENIDA","AGUIRRE LEHENDAKARI",20,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504456.8,4791237.39
"AVENIDA","AGUIRRE LEHENDAKARI",21,"1 - DEUSTU","SAN PEDRO DE DEUSTU",37,48014,504347.41,4791206.75
"AVENIDA","AGUIRRE LEHENDAKARI",22,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504442.39,4791238.29
"AVENIDA","AGUIRRE LEHENDAKARI",23,"1 - DEUSTU","SAN PEDRO DE DEUSTU",37,48014,504325.11,4791207.54
"AVENIDA","AGUIRRE LEHENDAKARI",24,"1 - DEUSTU","SAN PEDRO DE DEUSTU",41,48014,504414.57,4791239.44
"AVENIDA","AGUIRRE LEHENDAKARI",25,"1 - DEUSTU","SAN PEDRO DE DEUSTU",37,48014,504307.05,4791208.04
