CUS_NO ; BRANCH ; BIRTH
1;1004;500701       
3;1006;611015       
5;1005;370620       
6;1005;580630       
7;1003;431019       
8;1006;520102       
9;1005;491026       
10;1003;370422      
12;1004;511001      
13;1003;800903      
15;1005;380401      
16;1005;490121      
17;1005;491116      
18;1005;510630      
19;1006;570622      
20;1005;470629      
21;1005;490722      
22;1005;440624      
23;1005;520418      
25;1005;411201      
26;1005;410402      
27;1005;320906      
28;1006;480101      
29;1006;530105      
31;1005;481017      
32;1005;400115      
33;1003;560801      
34;1003;530828      
36;1008;360901      
37;1006;060131      
38;1005;370609      
39;1006;490228      
40;1006;420321      
43;1003;411220      
45;1003;631021      
46;1006;151001      
47;1005;540601      
52;1006;500623      
57;1005;450824      
58;1008;270215      
59;1008;450101      
61;1006;110308      
62;1005;560102      
64;1008;690205      
65;1006;340730      
66;1006;460210      
67;1003;491214      
69;1005;440620      
70;1005;470123      
71;1006;420401      
72;1005;600420      
73;1007;280912      
75;1005;520601      
76;1007;710324      
78;1007;490917      
79;1007;520526      
80;1008;320720      
81;1005;430612      
84;1006;360115      
85;1007;530702      
86;1007;991201      
91;1006;581020      
92;1006;531127      
93;1006;280110      
94;1007;610309      
98;1007;320202      
99;1006;400701      
101;1005;671012     
102;1005;740428     
103;1005;721119     
104;1005;740501     
105;1005;670627     
106;1005;640222     
107;1005;681019     
108;1005;720629     
109;1005;640519     
110;1005;731127     
111;1005;640110     
112;1006;610506     
113;1008;580101     
114;1006;350411     
116;1007;540730     
117;1007;561119     
119;1007;520212     
120;1003;350926     
121;1007;310922     
122;1007;160804     
123;1008;651115     
124;1004;251017     
126;1004;400416     
131;1004;560526     
132;1004;570522     
133;1005;300611     
134;1005;380201     
135;1006;211002     
137;1004;360517     
138;1005;660629     
139;1005;311115     
143;1007;170905     
146;1005;490625     
148;1007;281019     
152;1007;451203     
154;1009;530101     
157;1007;170705     
159;1009;150424     
160;1004;450310     
161;1005;560211     
162;1005;690727     
163;1005;480608     
164;1009;480920     
165;1007;330605     
166;1009;230914     
167;1008;640609     
168;1006;310403     
169;1008;470904     
170;1008;550314     
171;1005;570701     
173;1006;250102     
177;1008;310710     
178;1007;320601     
179;1009;160205     
181;1009;300115     
182;1005;580501     
184;1006;490504     
185;1005;550120     
186;1007;370925     
187;1005;480101     
189;1007;241202     
194;1008;290801     
195;1006;171201     
198;1005;491012     
201;1009;320304     
203;1005;241210     
205;1008;490101     
206;1008;360701     
207;1008;470201     
208;1003;391215     
209;1008;500615     
211;1008;500110     
212;1008;440824     
213;1006;331014     
214;1007;320601     
216;1007;160304     
217;1008;510620     
218;1006;310401     
219;1008;290611     
220;1004;340110     
221;1004;360502     
222;1008;491116     
225;1005;461112     
226;1008;360912     
227;1008;550118     
229;1006;210228     
230;1008;300102     
231;1003;400630     
232;1009;510908     
236;1003;471210     
237;1004;351012     
238;1009;530615     
240;1006;440101     
242;1005;460612     
243;1009;480620     
244;1008;640614     
246;1003;350702     
247;1009;431123     
248;1004;471217     
249;1007;661030     
250;1008;490112     
251;1009;501022     
252;1007;590212     
253;1006;320309     
254;1004;320915     
258;1006;310805     
259;1009;580522     
261;1007;380814     
262;1006;440402     
263;1004;380130     
264;1003;350809     
265;1008;510427     
266;1008;601019     
267;1005;380101     
268;1007;640630     
269;1008;540125     
270;1008;230508     
272;1009;400119     
273;1005;540825     
274;1008;700105     
275;1005;461228     
276;1005;561202     
278;1006;080915     
282;1006;320112     
283;1004;291117     
284;1006;800918     
286;1008;540113     
287;1008;550630     
288;1004;560611     
289;1007;470501     
290;1008;590623     
291;1009;290218     
294;1008;110126     
297;1008;380114     
298;1006;371222     
299;1009;330105     
300;1006;490305     
301;1006;511123     
303;1009;331221     
305;1005;261107     
306;1003;570601     
307;1007;230503     
308;1005;540128     
309;1008;681112     
310;1009;530324     
311;1009;471028     
312;1004;440827     
314;1009;461212     
316;1004;311118     
321;1004;420614     
322;1009;590615     
323;1009;330110     
324;1001;520505     
327;1007;130925     
328;1009;370301     
329;1006;430326     
331;1004;430604     
332;1001;410927     
337;1009;500611     
338;1009;420602     
339;1004;330610     
340;1009;490701     
341;1001;480107     
342;1005;650927     
345;1003;530316     
347;1001;520215     
348;1009;280415     
350;1005;520926     
354;1004;311210     
355;1006;440618     
356;1001;570620     
358;1006;570601     
360;1006;220203     
362;1009;800602     
363;1001;570918     
364;1009;371116     
365;1007;260827     
367;1009;570111     
369;1004;500630     
370;1003;100201     
371;1009;331012     
372;1005;640628     
374;1001;120430     
375;1008;440603     
376;1007;390226     
377;1007;580608     
378;1008;570608     
379;1001;310101     
380;1006;620101     
381;1004;371218     
382;1007;620224     
383;1009;401001     
384;1001;780106     
385;1009;290303     
389;1009;500224     
390;1008;330203     
393;1009;580625     
394;1007;580329     
395;1006;460221     
396;1009;530408     
397;1007;390102     
399;2001;440510     
401;1006;240629     
402;1007;540421     
404;1007;530620     
405;1004;550512     
407;1006;490510     
408;1006;220103     
411;1007;440528     
413;1008;701211     
414;1009;131223     
415;1001;510615     
416;1006;470108     
417;1001;680312     
419;1009;390101     
420;1006;590308     
422;1007;190603     
423;1009;471210     
424;2001;571122     
425;1001;531118     
431;1005;790320     
432;1005;410108     
433;1001;451118     
434;2001;440301     
436;1007;540822     
437;1009;190128     
439;1004;390601     
440;1008;730529     
441;2001;610628     
442;1009;590310     
443;1008;590310     
445;2001;330907     
446;1008;530415     
447;1006;290814     
448;1009;260130     
449;1008;330408     
451;1004;461201     
454;1007;590629     
455;1008;160501     
457;1006;530401     
458;1009;241003     
460;2001;400817     
461;1009;460911     
462;2002;530101     
463;1007;750230     
465;1006;580401     
466;2002;470101     
467;1009;520222     
469;1007;571207     
471;1009;581104     
473;2002;360201     
474;1007;260102     
475;2002;360701     
476;1006;620630     
478;1001;420101     
479;1005;510701     
480;1006;191015     
481;2002;290903     
482;1008;280310     
483;1009;310803     
484;1001;530720     
486;1008;101102     
487;1001;390802     
488;1006;510830     
489;1008;580502     
490;1006;320310     
494;1006;340202     
495;1009;581005     
496;1009;641210     
497;1007;471101     
498;1009;410615     
502;1004;110707     
504;2002;330101     
505;1008;370219     
506;1001;401229     
509;2001;590631     
510;1009;410812     
511;2001;400811     
512;1001;151216     
513;1007;131220     
515;2008;580403     
516;1007;420502     
518;1001;550509     
519;1009;120608     
520;1004;441213     
521;1001;441128     
522;1005;231010     
523;1007;680408     
524;1006;330914     
525;1009;500701     
526;1006;530505     
528;2002;311025     
529;1009;440804     
530;2008;321020     
531;1009;250427     
532;1004;610301     
533;2002;440615     
535;1004;480809     
536;1001;370323     
537;1009;460225     
538;1001;490628     
539;2001;340701     
541;1001;500631     
542;1007;421217     
543;1001;460916     
544;2002;491208     
547;1007;580624     
548;1008;350616     
549;1001;540304     
551;1009;320916     
552;1001;450915     
553;1001;420913     
554;1009;431102     
556;1006;140120     
557;1001;440101     
559;1006;570120     
560;1007;490425     
561;1001;251002     
562;1007;350114     
563;1009;550603     
565;1001;460104     
570;2001;471019     
571;1006;461112     
572;1006;340808     
573;1009;631223     
574;2002;470101     
576;2008;280310     
577;2002;520424     
578;1007;420601     
580;1008;300418     
581;1001;430907     
582;1005;500416     
583;1003;280101     
584;1001;220809     
586;1005;401201     
588;2002;320224     
589;1006;470110     
590;1008;600620     
591;2002;430125     
592;1006;341125     
593;1009;410321     
600;2002;530609     
601;1001;600101     
602;1001;331006     
604;1009;500102     
605;2002;411004     
606;1001;590610     
608;1005;410312     
609;1001;400511     
610;2001;460201     
612;1008;381125     
614;2007;421020     
615;2002;410101     
617;1007;280701     
618;1003;660623     
619;2001;480101     
620;1004;310403     
621;1006;460529     
622;1008;110527     
623;1001;380221     
624;1001;300601     
625;1001;360322     
627;1003;440518     
628;1008;520225     
631;1006;480519     
634;1004;461012     
635;1009;660319     
636;1009;670212     
637;1009;560631     
638;1009;430721     
639;1007;260505     
640;1001;401005     
641;1010;310701     
642;2007;580527     
647;1001;470508     
648;1001;370114     
649;1001;090821     
650;1001;420915     
651;1001;340601     
652;1001;470101     
653;1001;390615     
654;1001;620728     
655;1001;401002     
656;1001;681013     
657;1001;691225     
658;1001;400215     
659;1001;431017     
660;1001;400501     
661;1001;340826     
662;1001;550810     
663;1001;481112     
664;1001;561106     
665;1001;410631     
666;1001;450901     
667;1001;191206     
668;1001;620626     
669;1001;570311     
670;1001;261228     
671;1001;360903     
672;1001;350310     
673;1001;330802     
674;1001;370710     
675;1001;420104     
676;1001;530631     
